frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
1031,0,368.604,138.506,403.794,139.730,35.190,1.224,35.211,0.2238,0.00039
1032,0,361.681,138.382,401.814,140.595,40.133,2.214,40.194,0.3065,0.00058
1033,0,356.616,139.365,400.976,141.050,44.360,1.685,44.392,0.4168,0.00057
1034,0,353.632,138.924,401.868,140.297,48.236,1.373,48.255,0.4681,0.00043
1035,0,351.092,137.556,402.243,138.659,51.151,1.103,51.163,0.6966,0.00062
1036,0,348.190,134.467,403.595,135.460,55.405,0.993,55.414,0.8838,0.00115
1037,0,345.000,134.000,403.746,135.445,58.746,1.445,58.764,0.7434,0.00102
1038,0,341.594,133.358,404.393,135.187,62.799,1.829,62.825,0.7295,0.00109
1039,0,338.416,131.455,405.749,133.707,67.332,2.252,67.370,0.7610,0.00134
1040,0,336.548,130.925,406.368,133.127,69.820,2.202,69.855,0.8704,0.00155
1041,0,330.454,130.281,406.473,132.406,76.019,2.124,76.049,1.0587,0.00183
1042,0,322.817,129.297,403.518,131.456,80.701,2.159,80.730,1.1135,0.00170
1043,0,318.573,129.116,401.216,131.453,82.642,2.337,82.675,1.1371,0.00153
1044,0,310.553,126.485,397.781,128.603,87.228,2.118,87.254,1.4505,0.00196
1045,0,304.710,124.404,395.449,126.764,90.739,2.360,90.770,1.7082,0.00234
1046,0,299.000,125.000,393.923,127.629,94.923,2.629,94.959,1.7668,0.00222
1047,0,294.662,124.521,395.483,127.846,100.822,3.325,100.876,1.5930,0.00214
1048,0,292.650,124.984,395.941,128.481,103.292,3.497,103.351,1.5232,0.00200
1049,0,286.435,124.461,396.020,128.061,109.585,3.600,109.644,1.5134,0.00208
1050,0,280.935,122.800,394.382,126.685,113.448,3.885,113.514,1.6585,0.00241
1051,0,275.047,122.576,391.959,126.663,116.913,4.087,116.984,1.7765,0.00259
1052,0,267.702,122.568,389.511,126.262,121.809,3.693,121.865,1.9156,0.00297
1053,0,261.270,122.563,387.541,126.490,126.272,3.927,126.333,2.0303,0.00323
1054,0,256.800,123.577,386.850,127.155,130.049,3.578,130.098,2.0403,0.00327
1055,0,250.538,124.500,386.219,127.755,135.681,3.255,135.720,2.0540,0.00335
1056,0,246.884,125.946,386.188,129.441,139.304,3.495,139.348,1.9720,0.00318
1057,0,241.977,127.521,385.832,130.673,143.855,3.151,143.889,1.9492,0.00326
1058,0,236.301,127.578,383.390,131.008,147.089,3.431,147.129,2.1720,0.00367
1059,0,226.858,127.909,378.954,130.914,152.096,3.005,152.126,2.6119,0.00444
1060,0,220.094,128.264,375.649,130.845,155.555,2.581,155.576,2.9563,0.00513
1061,0,213.524,128.611,372.482,130.831,158.958,2.220,158.974,3.2897,0.00577
1062,0,204.684,130.005,369.674,131.511,164.990,1.506,164.997,3.5649,0.00626
1063,0,201.337,131.182,369.503,132.308,168.166,1.127,168.170,3.5664,0.00626
1064,0,196.588,130.845,368.148,131.842,171.560,0.996,171.563,3.6960,0.00641
1065,0,192.922,130.423,366.756,131.373,173.834,0.950,173.837,3.8327,0.00657
1066,0,185.537,129.623,363.590,130.326,178.053,0.703,178.055,4.1734,0.00716
1067,0,177.661,129.303,359.860,129.783,182.198,0.481,182.199,4.5729,0.00791
1068,0,173.283,128.610,358.454,129.181,185.171,0.571,185.172,4.7336,0.00822
1069,0,168.628,128.500,357.836,128.790,189.208,0.290,189.208,4.8115,0.00839
1070,0,165.589,128.539,357.599,128.927,192.010,0.388,192.011,4.8341,0.00844
