frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
2160,1,430.376,149.129,431.082,148.710,0.706,-0.419,0.821,5.7992,0.07815
2161,1,432.815,147.592,433.708,147.495,0.893,-0.097,0.899,6.5144,0.07285
2162,1,429.902,144.392,430.451,143.847,0.549,-0.546,0.774,6.9735,0.06468
2163,1,420.755,142.783,421.167,142.930,0.412,0.147,0.438,6.8863,0.05559
2164,1,410.846,142.026,411.319,141.720,0.473,-0.306,0.563,6.5792,0.04850
2165,1,397.269,141.649,396.830,141.542,-0.439,-0.108,0.452,5.7644,0.04156
2166,1,384.223,141.549,383.939,141.335,-0.284,-0.215,0.356,5.1794,0.03438
2167,1,368.500,142.940,368.698,143.073,0.198,0.133,0.239,4.8787,0.02367
2168,1,358.687,142.600,358.900,142.150,0.214,-0.450,0.499,5.0175,0.02010
2169,1,352.498,141.793,352.215,142.171,-0.283,0.378,0.472,5.2120,0.02217
2170,1,342.858,138.698,342.778,138.567,-0.080,-0.131,0.153,5.9626,0.03365
2171,1,335.622,135.380,335.291,135.759,-0.330,0.379,0.503,6.3168,0.04314
2172,1,330.332,130.693,330.239,130.590,-0.093,-0.104,0.139,7.0932,0.05384
2173,1,320.303,125.627,319.823,126.002,-0.481,0.374,0.609,7.7744,0.06940
2174,1,305.632,121.161,305.224,120.876,-0.408,-0.285,0.498,8.1534,0.08563
2175,1,290.250,119.537,289.315,119.669,-0.934,0.132,0.944,7.8589,0.09771
2176,1,273.641,120.642,272.726,120.381,-0.915,-0.261,0.951,7.3875,0.10950
2177,1,259.247,124.287,258.144,124.416,-1.102,0.129,1.110,6.9140,0.12092
2178,1,249.420,122.637,249.162,122.532,-0.258,-0.105,0.279,7.3557,0.13188
2179,1,242.381,122.477,242.006,121.862,-0.375,-0.615,0.720,7.5097,0.13873
2180,1,225.295,119.466,224.440,118.866,-0.854,-0.600,1.044,7.8007,0.15168
2181,1,216.578,118.016,215.794,117.158,-0.784,-0.858,1.162,7.9850,0.15763
2182,1,200.412,124.570,199.332,125.659,-1.081,1.089,1.534,7.3598,0.16810
2183,1,192.818,129.175,192.197,128.365,-0.621,-0.810,1.021,7.6289,0.17544
2184,1,187.960,139.418,187.663,139.922,-0.297,0.504,0.585,7.2386,0.18206
2185,1,183.638,147.234,183.470,147.388,-0.167,0.153,0.227,7.2666,0.18811
2186,1,178.958,158.048,178.837,157.669,-0.121,-0.379,0.398,6.9701,0.19366
2187,1,177.097,162.433,176.889,162.726,-0.209,0.292,0.359,6.6867,0.19537
2188,1,169.385,179.863,168.877,179.537,-0.508,-0.326,0.604,6.1890,0.20407
2189,1,165.390,195.058,164.932,195.152,-0.457,0.094,0.467,5.4603,0.20914
2190,1,162.429,208.243,161.825,208.200,-0.604,-0.043,0.606,4.9885,0.21373
2191,1,161.816,217.234,161.395,216.339,-0.421,-0.894,0.989,4.9064,0.21665
2192,1,162.138,237.782,161.790,237.502,-0.348,-0.280,0.447,4.5086,0.22158
2193,1,161.686,247.229,161.425,247.392,-0.261,0.163,0.308,4.2826,0.22350
2194,1,163.510,263.390,162.887,263.073,-0.623,-0.317,0.699,4.3421,0.22653
2195,1,166.439,271.364,165.716,271.316,-0.723,-0.048,0.724,4.5456,0.22716
2196,1,174.765,284.411,174.264,284.304,-0.501,-0.108,0.513,5.1783,0.22741
2197,1,179.856,289.557,179.438,289.796,-0.418,0.239,0.482,5.4159,0.22661
2198,1,188.614,297.369,188.103,297.713,-0.511,0.344,0.616,5.8271,0.22428
2199,1,196.472,300.686,195.490,300.548,-0.982,-0.138,0.991,6.2371,0.22156
2200,1,206.704,304.579,205.924,304.606,-0.780,0.027,0.780,6.7895,0.21804
2201,1,218.531,307.199,217.586,307.705,-0.945,0.506,1.072,7.4538,0.21384
2202,1,229.505,308.623,229.049,309.021,-0.456,0.398,0.605,8.1292,0.20965
2203,1,239.542,309.612,238.738,309.693,-0.804,0.081,0.808,8.6833,0.20504
2204,1,251.441,310.545,250.414,310.456,-1.027,-0.089,1.031,9.2945,0.20000
2205,1,265.367,313.151,264.328,312.963,-1.038,-0.187,1.055,10.1656,0.19472
2206,1,278.961,315.745,278.629,316.165,-0.332,0.421,0.536,11.1402,0.18987
2207,1,290.634,317.544,290.175,317.490,-0.459,-0.055,0.462,11.8491,0.18516
2208,1,301.763,318.601,301.370,318.793,-0.393,0.191,0.437,12.4750,0.18067
2209,1,315.630,321.716,314.985,322.275,-0.645,0.559,0.853,13.1599,0.17483
2210,1,323.237,322.113,322.240,322.647,-0.997,0.533,1.131,13.4693,0.17190
2211,1,342.588,324.687,342.065,324.829,-0.523,0.142,0.542,14.6232,0.16543
