frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
4559,0,178.691,209.544,178.080,209.620,-0.610,0.076,0.615,9.9633,0.21038
4559,1,238.730,213.625,238.302,213.875,-0.428,0.250,0.496,9.9633,0.21038
4560,0,176.701,209.638,176.204,209.906,-0.497,0.268,0.564,10.1784,0.21251
4560,1,236.752,214.237,236.445,214.329,-0.307,0.092,0.321,10.1784,0.21251
4561,0,170.380,207.717,169.711,207.904,-0.670,0.187,0.695,10.9322,0.22066
4561,1,230.365,212.744,230.022,212.955,-0.343,0.211,0.402,10.9322,0.22066
4562,0,173.546,210.487,172.940,210.678,-0.606,0.192,0.636,10.7901,0.22534
4562,1,232.943,214.647,232.848,214.884,-0.095,0.237,0.255,10.7901,0.22534
4563,0,173.301,214.467,172.627,214.672,-0.674,0.205,0.704,10.9677,0.22625
4564,0,170.574,219.039,170.044,219.322,-0.530,0.283,0.601,11.5366,0.22885
4564,1,230.432,221.783,230.003,222.213,-0.429,0.429,0.607,11.5366,0.22885
4565,0,170.044,218.314,169.503,218.553,-0.541,0.238,0.591,11.6191,0.22967
4565,1,229.742,220.970,229.476,221.298,-0.266,0.328,0.422,11.6191,0.22967
4566,0,169.717,216.024,169.202,216.421,-0.516,0.398,0.651,11.6359,0.23196
4566,1,229.491,218.534,229.114,218.938,-0.377,0.404,0.553,11.6359,0.23196
4567,0,172.443,216.223,171.732,216.487,-0.711,0.264,0.758,11.3304,0.23236
4567,1,231.688,218.579,231.443,218.981,-0.245,0.401,0.470,11.3304,0.23236
4568,0,174.563,216.661,173.842,217.001,-0.721,0.340,0.797,11.1138,0.23245
4568,1,233.761,218.961,233.400,219.415,-0.361,0.454,0.580,11.1138,0.23245
4569,0,178.859,219.120,178.308,219.400,-0.552,0.280,0.619,10.7284,0.23232
4569,1,237.752,221.298,237.558,221.534,-0.194,0.236,0.305,10.7284,0.23232
4570,0,184.256,222.644,183.575,223.078,-0.681,0.435,0.808,10.4049,0.23157
4570,1,242.729,224.442,242.507,224.631,-0.222,0.190,0.292,10.4049,0.23157
4571,0,185.871,223.597,185.366,223.809,-0.505,0.212,0.548,10.2980,0.23116
4571,1,244.570,224.698,244.202,225.153,-0.367,0.456,0.585,10.2980,0.23116
4572,0,190.507,224.953,189.774,225.262,-0.733,0.308,0.795,10.0606,0.23013
4572,1,248.659,225.687,248.384,226.124,-0.274,0.437,0.516,10.0606,0.23013
4573,0,196.484,221.942,195.760,222.285,-0.724,0.343,0.801,9.1690,0.22816
4573,1,254.478,223.013,254.110,223.494,-0.367,0.481,0.605,9.1690,0.22816
4574,0,200.933,226.828,200.326,226.967,-0.607,0.140,0.623,8.7508,0.22684
4574,1,258.736,228.303,258.449,228.475,-0.287,0.173,0.335,8.7508,0.22684
4575,0,203.849,230.372,203.167,230.332,-0.682,-0.040,0.683,8.6636,0.22610
4575,1,261.620,231.490,261.159,231.773,-0.461,0.283,0.540,8.6636,0.22610
4576,0,213.425,237.173,212.643,237.390,-0.782,0.217,0.811,8.3612,0.22354
4576,1,270.721,238.232,270.263,238.540,-0.459,0.308,0.553,8.3612,0.22354
4577,0,217.291,236.848,216.598,237.281,-0.693,0.433,0.817,7.9131,0.22165
4577,1,274.462,238.376,274.107,238.656,-0.355,0.279,0.452,7.9131,0.22165
4578,0,218.705,235.891,218.187,236.341,-0.518,0.450,0.686,7.6242,0.22064
4578,1,275.842,237.576,275.663,237.898,-0.178,0.322,0.368,7.6242,0.22064
4579,0,230.523,235.814,229.810,236.100,-0.714,0.286,0.769,6.3532,0.21410
4579,1,287.559,238.173,287.053,238.472,-0.505,0.298,0.587,6.3532,0.21410
4580,0,233.326,236.250,232.639,236.431,-0.688,0.181,0.711,6.1520,0.21281
4580,1,290.149,238.537,289.826,238.914,-0.323,0.377,0.496,6.1520,0.21281
4581,0,238.966,241.748,239.246,241.847,0.280,0.099,0.297,1.0609,0.00600
4581,1,295.858,243.949,296.339,243.840,0.482,-0.108,0.494,1.0609,0.00600
4582,0,244.702,242.662,244.885,242.680,0.183,0.018,0.184,1.8157,0.01158
4582,1,301.650,244.604,302.011,244.535,0.361,-0.069,0.368,1.8157,0.01158
4583,0,251.069,243.214,251.187,243.037,0.119,-0.177,0.213,2.6527,0.01591
4584,0,258.329,243.820,258.386,243.923,0.057,0.103,0.118,3.6453,0.02039
4584,1,315.172,246.177,315.499,245.849,0.327,-0.329,0.464,3.6453,0.02039
4585,0,261.597,245.370,261.681,245.163,0.084,-0.207,0.223,4.1523,0.02347
4585,1,318.452,247.468,318.850,247.050,0.398,-0.418,0.577,4.1523,0.02347
4586,0,265.689,244.586,265.848,244.490,0.159,-0.096,0.186,4.7552,0.02780
4586,1,322.624,246.592,323.101,246.463,0.478,-0.130,0.495,4.7552,0.02780
4587,0,268.626,242.603,268.759,242.472,0.132,-0.132,0.187,5.1559,0.03044
4587,1,325.571,244.688,326.057,244.515,0.486,-0.174,0.516,5.1559,0.03044
4588,0,270.570,239.554,270.633,239.400,0.063,-0.153,0.166,5.4396,0.03266
4588,1,327.548,241.753,327.969,241.615,0.421,-0.139,0.443,5.4396,0.03266
4589,0,272.495,234.448,272.653,234.314,0.158,-0.133,0.207,5.8298,0.03583
4589,1,329.588,237.095,330.050,236.816,0.462,-0.279,0.540,5.8298,0.03583
4590,0,272.686,233.489,273.035,233.257,0.349,-0.232,0.419,5.9276,0.03694
4590,1,329.786,236.082,330.464,235.777,0.679,-0.305,0.744,5.9276,0.03694
4591,0,271.718,232.348,272.166,232.259,0.448,-0.089,0.457,5.9375,0.04015
4591,1,328.870,235.068,329.721,234.735,0.851,-0.333,0.914,5.9375,0.04015
4592,0,268.708,235.568,269.056,235.298,0.348,-0.270,0.440,5.6170,0.04381
4592,1,325.739,238.124,326.795,237.661,1.056,-0.463,1.154,5.6170,0.04381
4593,0,268.716,239.074,269.292,238.981,0.577,-0.093,0.584,5.7172,0.04780
4593,1,326.493,241.571,327.198,241.302,0.705,-0.270,0.755,5.7172,0.04780
4594,0,272.373,241.574,272.693,241.443,0.319,-0.131,0.345,6.2265,0.05216
4594,1,329.785,244.287,330.747,243.791,0.963,-0.496,1.083,6.2265,0.05216
4595,0,275.683,243.377,276.129,243.054,0.446,-0.323,0.551,6.7431,0.05664
4595,1,333.648,245.824,334.346,245.500,0.698,-0.324,0.770,6.7431,0.05664
4596,0,277.688,245.585,278.220,245.271,0.532,-0.313,0.617,7.0814,0.06083
4597,0,278.395,246.272,278.766,246.021,0.371,-0.251,0.448,7.1776,0.06223
4597,1,336.465,248.899,337.226,248.500,0.761,-0.399,0.860,7.1776,0.06223
4598,0,278.764,246.588,279.237,246.403,0.473,-0.186,0.508,7.2591,0.06357
4598,1,336.750,249.544,337.757,248.889,1.007,-0.655,1.201,7.2591,0.06357
4599,0,279.918,244.567,280.494,244.327,0.576,-0.239,0.624,7.4417,0.06812
4599,1,338.370,247.439,339.218,246.795,0.848,-0.645,1.065,7.4417,0.06812
4600,0,280.340,243.738,280.746,243.747,0.407,0.008,0.407,7.4965,0.07061
4600,1,338.628,246.595,339.585,246.237,0.958,-0.358,1.023,7.4965,0.07061
4601,0,280.339,244.390,280.775,244.161,0.436,-0.229,0.493,7.5135,0.07142
4601,1,338.607,247.352,339.652,246.670,1.045,-0.682,1.248,7.5135,0.07142
4602,0,280.643,245.702,281.096,245.524,0.453,-0.178,0.487,7.5897,0.07354
4602,1,339.084,248.583,340.074,248.054,0.990,-0.529,1.123,7.5897,0.07354
4603,0,280.784,246.553,281.299,246.279,0.514,-0.274,0.583,7.6336,0.07473
4603,1,339.494,249.494,340.335,248.796,0.841,-0.698,1.093,7.6336,0.07473
4604,0,280.796,247.441,281.333,247.092,0.537,-0.349,0.640,7.6606,0.07612
4604,1,339.493,250.318,340.436,249.637,0.943,-0.681,1.163,7.6606,0.07612
4605,0,280.688,247.738,281.260,247.586,0.572,-0.152,0.592,7.6694,0.07693
4605,1,339.510,250.635,340.402,250.165,0.892,-0.471,1.008,7.6694,0.07693
4606,0,280.632,247.882,281.189,247.708,0.557,-0.174,0.584,7.6661,0.07729
4606,1,339.547,250.654,340.350,250.291,0.803,-0.363,0.882,7.6661,0.07729
4607,0,280.632,247.771,281.139,247.666,0.508,-0.105,0.518,7.6635,0.07821
4607,1,339.531,250.640,340.348,250.184,0.818,-0.455,0.936,7.6635,0.07821
4608,0,280.639,247.701,281.112,247.605,0.473,-0.096,0.482,7.6607,0.07846
4608,1,339.513,250.567,340.334,250.089,0.821,-0.478,0.950,7.6607,0.07846
4609,0,280.510,247.457,280.853,247.209,0.344,-0.248,0.424,7.6232,0.07895
4609,1,339.103,250.232,340.105,249.622,1.002,-0.610,1.173,7.6232,0.07895
4610,0,279.485,246.601,279.984,246.657,0.499,0.056,0.502,7.5082,0.07942
4610,1,338.345,249.545,339.270,249.037,0.925,-0.508,1.055,7.5082,0.07942
4611,0,279.025,246.576,279.675,246.578,0.651,0.003,0.651,7.4678,0.07949
4611,1,337.724,249.558,338.969,248.961,1.245,-0.597,1.381,7.4678,0.07949
4612,0,278.721,246.477,279.344,246.338,0.622,-0.140,0.638,7.4266,0.07981
4612,1,337.621,249.252,338.657,248.736,1.036,-0.517,1.158,7.4266,0.07981
4613,0,279.191,244.624,279.730,244.685,0.539,0.061,0.542,7.4546,0.08005
4613,1,338.037,247.546,339.055,247.089,1.019,-0.457,1.116,7.4546,0.08005
4614,0,279.540,245.154,280.056,245.020,0.516,-0.134,0.533,7.4941,0.08023
4614,1,338.632,247.759,339.390,247.430,0.758,-0.330,0.827,7.4941,0.08023
4615,0,279.643,245.536,280.194,245.263,0.552,-0.273,0.616,7.5108,0.08033
4615,1,338.603,248.307,339.534,247.672,0.931,-0.636,1.127,7.5108,0.08033
4616,0,279.916,244.704,280.565,244.695,0.648,-0.009,0.648,7.5461,0.08061
4616,1,338.849,247.604,339.918,247.120,1.068,-0.483,1.173,7.5461,0.08061
4617,0,280.283,244.261,280.788,244.123,0.505,-0.138,0.523,7.5683,0.08092
4617,1,339.237,247.182,340.153,246.607,0.916,-0.575,1.082,7.5683,0.08092
4618,0,280.502,244.266,280.912,244.070,0.410,-0.196,0.455,7.5830,0.08106
4618,1,339.496,247.119,340.283,246.585,0.787,-0.534,0.951,7.5830,0.08106
4619,0,280.875,244.635,281.445,244.526,0.569,-0.109,0.580,7.6430,0.08138
4619,1,339.670,247.591,340.830,247.051,1.160,-0.540,1.279,7.6430,0.08138
4620,0,280.987,244.642,281.567,244.586,0.581,-0.055,0.583,7.6551,0.08168
4620,1,339.814,247.684,340.968,247.124,1.154,-0.560,1.283,7.6551,0.08168
4621,0,281.307,244.290,281.728,244.097,0.421,-0.192,0.463,7.6697,0.08196
4621,1,340.217,247.350,341.141,246.664,0.924,-0.685,1.151,7.6697,0.08196
4622,0,281.523,243.666,281.870,243.721,0.347,0.055,0.351,7.6839,0.08207
4622,1,340.379,246.712,341.287,246.302,0.908,-0.410,0.997,7.6839,0.08207
4623,0,282.096,243.337,282.617,243.097,0.521,-0.240,0.574,7.7711,0.08225
4623,1,340.991,246.305,342.037,245.721,1.046,-0.585,1.198,7.7711,0.08225
4624,0,282.380,242.497,282.825,242.305,0.445,-0.192,0.485,7.7934,0.08223
4624,1,341.508,245.439,342.242,244.932,0.734,-0.506,0.892,7.7934,0.08223
4625,0,282.349,242.491,282.811,242.294,0.462,-0.197,0.502,7.7930,0.08225
4625,1,341.436,245.464,342.229,244.924,0.794,-0.540,0.960,7.7930,0.08225
4626,0,281.806,242.664,282.530,242.604,0.724,-0.059,0.727,7.7654,0.08227
4626,1,341.038,245.719,341.949,245.253,0.911,-0.465,1.023,7.7654,0.08227
4627,0,281.753,242.792,282.458,242.691,0.705,-0.101,0.712,7.7592,0.08226
4627,1,340.872,245.790,341.876,245.352,1.004,-0.439,1.096,7.7592,0.08226
4628,0,281.724,242.449,282.268,242.199,0.544,-0.250,0.599,7.7377,0.08218
4628,1,340.635,245.499,341.682,244.877,1.047,-0.622,1.218,7.7377,0.08218
