frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m,dx_m,dy_m,dz_m,green_px
854,1,327.480,220.377,326.328,221.569,-1.152,1.191,1.657,4.1581,1.03365,0.01367,0.30270,0.98823,22.40
855,0,268.571,220.650,267.107,221.714,-1.464,1.064,1.810,4.0439,1.03423,0.01380,0.30346,0.98861,34.72
855,1,327.334,221.555,326.079,222.756,-1.256,1.200,1.737,4.0439,1.03423,0.01380,0.30346,0.98861,22.42
856,0,268.505,221.033,267.105,222.216,-1.400,1.183,1.833,3.9923,1.03470,0.01390,0.30380,0.98900,34.76
856,1,327.293,222.059,326.052,223.282,-1.241,1.223,1.742,3.9923,1.03470,0.01390,0.30380,0.98900,22.43
857,0,268.665,221.763,267.239,222.930,-1.425,1.167,1.842,3.9057,1.03514,0.01400,0.30396,0.98941,34.75
857,1,327.526,222.682,326.159,224.038,-1.367,1.356,1.926,3.9057,1.03514,0.01400,0.30396,0.98941,22.36
858,0,268.720,221.864,267.378,223.153,-1.342,1.289,1.861,3.8764,1.03562,0.01400,0.30403,0.98989,34.73
858,1,327.543,223.123,326.271,224.276,-1.272,1.153,1.717,3.8764,1.03562,0.01400,0.30403,0.98989,22.31
859,0,268.626,221.079,267.153,222.246,-1.473,1.167,1.879,3.9868,1.03603,0.01418,0.30407,0.99030,34.67
859,1,327.395,222.159,326.034,223.352,-1.361,1.193,1.810,3.9868,1.03603,0.01418,0.30407,0.99030,22.35
860,0,268.445,220.392,266.954,221.415,-1.491,1.023,1.808,4.0809,1.03648,0.01431,0.30396,0.99081,34.71
860,1,326.894,221.467,325.819,222.524,-1.074,1.057,1.507,4.0809,1.03648,0.01431,0.30396,0.99081,22.38
861,0,268.514,220.918,266.989,222.166,-1.525,1.248,1.970,3.9880,1.03682,0.01463,0.30404,0.99113,34.70
861,1,326.930,222.194,325.831,223.339,-1.099,1.145,1.587,3.9880,1.03682,0.01463,0.30404,0.99113,22.37
862,0,268.487,219.561,266.865,220.683,-1.622,1.122,1.972,4.1628,1.03784,0.01514,0.30409,0.99218,34.66
862,1,326.897,220.602,325.663,221.854,-1.234,1.252,1.757,4.1628,1.03784,0.01514,0.30409,0.99218,22.37
863,0,267.862,219.404,266.545,220.414,-1.317,1.011,1.660,4.1974,1.03840,0.01528,0.30421,0.99272,34.63
863,1,326.603,220.344,325.325,221.507,-1.278,1.163,1.728,4.1974,1.03840,0.01528,0.30421,0.99272,22.32
864,0,267.987,219.650,266.643,220.931,-1.344,1.281,1.856,4.1389,1.03878,0.01548,0.30442,0.99305,34.65
864,1,326.645,220.663,325.400,221.991,-1.245,1.329,1.821,4.1389,1.03878,0.01548,0.30442,0.99305,22.32
865,0,268.179,219.691,266.690,220.941,-1.489,1.250,1.944,4.1411,1.03949,0.01560,0.30463,0.99373,34.61
865,1,326.643,220.649,325.413,221.948,-1.230,1.299,1.789,4.1411,1.03949,0.01560,0.30463,0.99373,22.32
866,0,268.316,219.544,268.316,219.463,0.000,-0.082,0.082,0.0396,0.00049,0.00003,0.00001,0.00049,34.60
866,1,326.654,220.482,326.941,220.349,0.287,-0.133,0.317,0.0396,0.00049,0.00003,0.00001,0.00049,22.36
867,0,268.474,221.481,268.436,221.266,-0.038,-0.215,0.218,0.1897,0.00170,0.00037,0.00057,0.00156,34.56
867,1,326.687,222.423,326.997,222.204,0.310,-0.219,0.380,0.1897,0.00170,0.00037,0.00057,0.00156,22.33
868,0,268.663,221.569,268.746,221.368,0.083,-0.202,0.218,0.2307,0.00253,0.00042,0.00070,0.00240,34.60
868,1,326.963,222.510,327.262,222.347,0.299,-0.163,0.341,0.2307,0.00253,0.00042,0.00070,0.00240,22.33
869,0,268.810,222.688,268.982,222.600,0.172,-0.088,0.193,0.3795,0.00349,0.00039,0.00095,0.00334,34.60
